mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_35,passing,0.924725,0.990741,0.981651,0.975904,0.807229,0.784810,0.851064,0.841463,0.841463,0.876404,0.909836,0.912281,1.000000,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_36,passing,0.923200,0.946429,0.946429,0.963855,0.759036,0.787500,0.810526,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_37,passing,0.932502,0.990654,0.990741,0.987805,0.792683,0.822785,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.759035,0.900901,0.891892,0.902439,0.674699,0.658228,0.627660,0.506173,0.506173,0.534091,0.570248,0.628319,1.000000,0.647059,0.657143,0.657143,0.657143,0.678899,0.678899,0.678899,0.678899,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.669007,0.944444,0.814815,0.773810,0.576471,0.506024,0.466019,0.395062,0.395062,0.397727,0.479339,0.486726,1.000000,0.487395,0.514286,0.514286,0.514286,0.532110,0.532110,0.532110,0.532110,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.927460,0.990741,0.990826,0.987952,0.831325,0.825000,0.861702,0.853659,0.853659,0.857143,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.936050,1.000000,1.000000,1.000000,0.841463,0.835443,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.417977,0.448598,0.250000,0.292683,0.231707,0.139241,0.129032,0.148148,0.148148,0.170455,0.198347,0.212389,1.000000,0.193277,0.190476,0.190476,0.190476,0.183486,0.183486,0.183486,0.183486,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.910898,0.962617,0.962963,0.951220,0.743902,0.772152,0.795699,0.777778,0.777778,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.757691,0.915888,0.916667,0.890244,0.674699,0.683544,0.666667,0.493827,0.493827,0.522727,0.561983,0.619469,1.000000,0.638655,0.647619,0.647619,0.647619,0.669725,0.669725,0.669725,0.669725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.741854,0.897196,0.898148,0.891566,0.607143,0.658228,0.634409,0.469136,0.469136,0.511364,0.545455,0.601770,1.000000,0.613445,0.628571,0.628571,0.628571,0.651376,0.651376,0.651376,0.651376,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.909714,0.953271,0.953704,0.939024,0.743902,0.772152,0.795699,0.777778,0.777778,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.768773,0.953271,0.944444,0.926829,0.710843,0.696203,0.677419,0.506173,0.506173,0.534091,0.570248,0.628319,1.000000,0.647059,0.657143,0.657143,0.657143,0.678899,0.678899,0.678899,0.678899,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.933782,1.000000,0.990741,0.987805,0.829268,0.810127,0.870968,0.864198,0.864198,0.886364,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.675683,0.682243,0.638889,0.609756,0.402439,0.405063,0.430108,0.419753,0.419753,0.477273,0.545455,0.530973,1.000000,0.588235,0.628571,0.628571,0.628571,0.633028,0.633028,0.633028,0.633028,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.808558,0.871560,0.863636,0.845238,0.529412,0.573171,0.571429,0.551724,0.551724,0.666667,0.708661,0.703390,1.000000,0.803279,0.822430,0.822430,0.822430,0.828829,0.828829,0.828829,0.828829,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.456018,0.373832,0.314815,0.341463,0.256098,0.189873,0.157895,0.149425,0.149425,0.175926,0.244444,0.267176,1.000000,0.252525,0.290698,0.290698,0.305732,0.266667,0.276596,0.276596,0.276596,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.426156,0.355140,0.314815,0.329268,0.256098,0.215190,0.258065,0.222222,0.222222,0.250000,0.347107,0.345133,1.000000,0.117647,0.126984,0.128617,0.134228,0.113402,0.116402,0.113757,0.113757,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
